"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Victor Gwee",11,364,15,4,"N",0,"Lose","N","William Kang",382,-18,0,1,0,1,0,3,"N",5,46,5,1,61
"Tony Sim",11,458,14,5,"N",1,"Win","N","Yeo Kian Hung",422,36,2,0,0,1,0,3,"N",2,3,6,2,168
"Ricky Purnomo",11,366,17,6,"N",0,"Lose","N","Vinnith Ramamurti",449,-83,1,1,0,1,1,2,"Y",2,36,6,0,0
"Victor Chua",11,396,16,7,"N",1,"Win","N","Martin Teo",381,15,2,0,0,1,0,2,"N",0,3,5,2,163
"Michael Tang",11,475,20,8,"N",1,"Win","N","Alex Tan",341,134,1,0,1,1,1,2,"N",1,58,6,2,156
"Yong Jian Rong",11,343,11,9,"N",0,"Lose","N","Nigel Richards",515,-172,0,1,0,1,1,3,"N",5,56,6,1,77
"Nigel Richards",11,515,9,11,"N",1,"Win","Y","Yong Jian Rong",343,172,2,0,1,0,0,1,"N",10,20,4,4,292
"Aaron Chong",11,331,3,12,"N",0,"Lose","Y","Wong Zhi Yuan",474,-143,0,1,0,1,1,1,"N",3,12,4,1,63
"Vannitha Balasingam",11,387,2,13,"N",0,"Lose","Y","Marlon Prudencio",513,-126,0,0,0,0,0,3,"Y",1,24,3,1,87
"Yeo Kian Hung",11,422,5,14,"N",0,"Lose","Y","Tony Sim",458,-36,0,1,1,0,1,1,"N",7,48,4,1,77
"William Kang",11,382,4,15,"N",1,"Win","Y","Victor Gwee",364,18,2,0,1,0,1,1,"N",4,34,5,0,0
"Martin Teo",11,381,7,16,"N",0,"Lose","Y","Victor Chua",396,-15,0,1,1,0,1,2,"N",0,4,5,1,73
"Vinnith Ramamurti",11,449,6,17,"N",1,"Win","Y","Ricky Purnomo",366,83,1,0,1,0,0,2,"N",10,4,4,0,0
"Tan Jin Chor",11,391,1,19,"N",0,"Lose","Y","Hubert Wee",481,-90,0,1,1,1,1,2,"",NA,NA,6,0,0
"Alex Tan",11,341,8,20,"N",0,"Lose","Y","Michael Tang",475,-134,1,1,0,0,0,2,"N",7,37,4,1,68
"Hubert Wee",12,426,14,1,"N",0.5,"Draw","Y","Yeo Kian Hung",426,0,1,1,0,0,1,3,"N",0,45,6,2,182
"Marlon Prudencio",12,514,19,2,"N",1,"Win","Y","Tan Jin Chor",380,134,2,0,1,0,0,2,"N",8,43,5,3,234
"Wong Zhi Yuan",12,406,16,3,"N",0,"Lose","Y","Martin Teo",450,-44,0,0,0,0,0,2,"N",9,6,2,2,149
"Victor Gwee",12,401,11,4,"N",0,"Lose","Y","Nigel Richards",439,-38,1,1,1,1,0,1,"N",1,34,5,1,58
"Tony Sim",12,429,18,5,"N",0,"Lose","Y","Jocelyn Lor",471,-42,0,1,0,0,0,2,"N",0,39,3,2,159
"Ricky Purnomo",12,266,13,6,"N",0,"Lose","Y","Vannitha Balasingam",526,-260,0,1,0,0,0,1,"Y",0,56,2,0,0
"Victor Chua",12,476,20,7,"N",1,"Win","Y","Alex Tan",351,125,1,0,1,1,1,3,"N",5,13,7,2,143
"Michael Tang",12,461,15,8,"N",1,"Win","Y","William Kang",351,110,1,1,0,1,1,2,"N",5,16,6,1,68
"Yong Jian Rong",12,377,12,9,"N",0,"Lose","Y","Aaron Chong",468,-91,0,0,0,0,1,4,"N",9,15,5,2,146
"Shim Yen Nee",12,426,17,10,"N",0,"Lose","Y","Vinnith Ramamurti",487,-61,0,0,0,0,1,2,"N",2,58,3,2,195
"Nigel Richards",12,439,4,11,"N",1,"Win","N","Victor Gwee",401,38,1,0,0,0,1,3,"N",11,30,5,2,140
"Aaron Chong",12,468,9,12,"N",1,"Win","N","Yong Jian Rong",377,91,2,1,1,1,0,0,"N",8,32,5,2,164
"Vannitha Balasingam",12,526,6,13,"N",1,"Win","N","Ricky Purnomo",266,260,2,0,1,1,1,3,"N",2,1,8,3,258
"Yeo Kian Hung",12,426,1,14,"N",0.5,"Draw","N","Hubert Wee",426,0,1,0,1,1,0,1,"N",5,59,4,1,72
"William Kang",12,351,8,15,"N",0,"Lose","N","Michael Tang",461,-110,1,0,1,0,0,2,"N",4,57,4,1,68
